Year,Board Code,Board Name,School Code,School Name,School Total
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,596,Chebucto Heights Elementary  School,395
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,1109,Citadel High School,1411
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,600,Clayton Park Junior High School,314
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,352,Colby Village Elementary School,214
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,357,Cole Harbour District High School,541
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,339,Colonel John Stuart Elementary School,181
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,517,Crichton Park Elementary School,229
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,605,Cunard Junior High School,169
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,518,Dartmouth High School,989
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,1193,Dartmouth South Academy,538
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,601,Duc d'Anville Elementary School,381
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,328,Duncan MacMillan High School,261
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,343,Dutch Settlement Elementary School,116
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,283,East St. Margaret's Elementary School,70
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,351,Eastern Passage Education Centre,440
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,334,Eastern Shore District High School,417
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,614,Elizabeth Sutherland School,386
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,538,Ellenvale Junior High School,382
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,564,Eric Graves Memorial Junior High School,161
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,599,Fairview Heights Elementary School,444
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,578,Fairview Junior High School,437
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,288,Five Bridges Junior High School,557
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,356,Gaetz Brook Junior High School,260
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,731,George Bissett Elementary School,155
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,314,Georges P. Vanier Junior High School,393
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,568,Gorsebrook Junior High School,256
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,318,Graham Creighton Junior High School,338
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,602,Grosvenor-Wentworth Park Elementary School,444
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,567,Halifax Central Junior High School,159
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,592,Halifax West High School,1455
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,306,Hammonds Plains Consolidated School,569
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,521,Harbour View Elementary School,217
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,740,Harold T. Barrett Junior High School,171
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,296,Harrietsfield Elementary School,162
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,313,Harry R. Hamilton Elementary School,400
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,522,Hawthorn Elementary School,223
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,293,Herring Cove Junior High School,212
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,571,Highland Park Junior High School,126
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,310,Hillside Park Elementary School,149
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,747,Holland Road Elementary School,315
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,327,Humber Park Elementary School,178
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,523,Ian Forsyth Elementary School,342
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,579,Inglis Street Elementary School,212
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,1196,Island View High School,405
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,619,J. L. Ilsley High School,662
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,539,John MacNeil Elementary School,245
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,524,John Martin Junior High School,168
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,607,John W. MacLeod-Fleming Tower Elementary School,452
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,354,Joseph Giles Elementary School,232
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,569,Joseph Howe Elementary School,238
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,1103,Kingswood Elementary School,615
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,330,Lakefront Consolidated Elementary School,19
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,587,LeMarchant-St. Thomas Elementary School,451
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,353,Leslie Thomas Junior High School,280
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,968,Lockview High School,1232
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,939,Madeline Symonds Middle School,713
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,526,Michael Wallace Elementary School,180
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,748,Millwood Elementary School,360
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,745,Millwood High School,774
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,527,Mount Edward Elementary School,146
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,1149,Musquodoboit Rural High School,270
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,348,Musquodoboit Valley Education Centre,122
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,324,Nelson Whynder Elementary School,100
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,56,Ocean View Elementary School,261
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,131,O'Connell Drive Elementary School,323
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,315,Oldfield Consolidated School,160
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,572,Oxford School,416
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,1141,Oyster Pond Academy,418
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,970,Park West School,834
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,1159,Porters Lake Elementary School,274
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,969,Portland Estates Elementary School,400
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,533,Prince Andrew High School,783
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,282,Prospect Road Elementary School,225
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,938,Ridgecliff Middle School,457
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,359,Robert K. Turner Elementary School,142
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,603,Rockingham Elementary School,492
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,609,Rockingstone Heights School,265
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,1187,Rocky Lake Junior High School,814
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,321,Ross Road School,263
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,311,Sackville Heights Elementary School,350
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,303,Sackville Heights Junior High School,576
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,297,Sackville High School,810
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,581,Saint Mary's Elementary School,99
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,295,Sambro Elementary School,117
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,941,Seaside Elementary School,293
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,534,Shannon Park Elementary School,621
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,287,Shatford Memorial Elementary School,78
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,589,Sir Charles Tupper School,209
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,277,Sir John A. Macdonald High School,1025
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,320,Sir Robert Borden Junior High School,188
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,355,Smokey Drive Elementary School,222
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,535,South Woodside School,140
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,593,Springvale Elementary,321
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,575,St. Agnes Junior High School,294
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,577,St. Catherine's Elementary School,463
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,580,St. Joseph's-Alexander McKay Elementary School,295
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,940,St. Margaret's Bay Elementary School,400
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,586,St. Stephen's Elementary School,224
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,299,Sunnyside Elementary School,383
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,307,Sycamore Lane Elementary School,218
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,85,Tallahassee Community School,357
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,1186,Tantallon Junior Elementary School,276
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,284,Tantallon Senior Elementary School,433
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,349,Upper Musquodoboit Consolidated Elementary School,30
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,1157,Waverley Memorial Elementary School,351
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,591,Westmount Elementary School,358
2018-2019,54,HALIFAX REGIONAL CENTRE FOR EDUCATION,294,William King Elementary School,238
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,8055,Annapolis Valley DSEPS,28
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,63,Aldershot Elementary School,292
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,746,Annapolis East Elementary School,430
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,133,Annapolis West Education Centre,344
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,993,Avon View High School,954
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,75,Berwick and District School,267
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,1192,Bridgetown Regional Community School,514
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,363,Brooklyn District Elementary School,309
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,58,Cambridge and District Elementary School,179
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,67,Central Kings Rural High School,680
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,965,Champlain Elementary School,185
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,141,Clark Rutherford Memorial School,139
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,732,Coldbrook and District School,462
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,366,Dr. Arthur Hines School,103
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,65,Dwight Ross School,156
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,753,Evangeline Middle School,274
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,362,Falmouth District School,179
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,60,Gaspereau Valley Elementary School,168
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,59,Glooscap Elementary School,217
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,24,Hantsport School,179
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,998,Highbury Education Centre,17
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,70,Horton High School,872
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,1158,Kings County Academy,595
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,379,Kings County Adult High School,50
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,62,Kingston and District School,500
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,61,L.E. Shaw Elementary School,141
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,129,Lawrencetown Consolidated School,108
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,1108,Lawrencetown Education Centre,32
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,712,Middleton Regional High School,600
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,73,New Minas Elementary School,331
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,967,Northeast Kings Education Centre,905
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,966,Pine Ridge Middle School,367
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,72,Port Williams Elementary School,242
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,55,Somerset and District Elementary School,168
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,54,St. Mary's Elementary School,232
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,360,Three Mile Plains District School,170
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,1110,West Hants Education Centre,16
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,994,West Hants Middle School,520
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,71,West Kings District High School,653
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,376,Windsor Adult High School,29
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,699,Windsor Elementary School,210
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,361,Windsor Forks District School,134
2018-2019,55,ANNAPOLIS VALLEY REGIONAL CENTRE FOR EDUCATION,81,Wolfville School,298
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,8057,CSAP DSEPS,0
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,1155,Centre Scolaire de la Rive-Sud,311
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,387,Centre scolaire Étoile de l'Acadie,289
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,145,École acadienne de Pomquet,319
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,433,École acadienne de Truro,368
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,947,École Beaubassin,544
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,982,École Beau-Port,264
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,744,École Belleville,204
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,948,École Bois-Joli,645
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,1173,École des Beaux-Marais,237
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,68,École du Carrefour,481
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,1188,École du Grand-Portage,229
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,1197,École Mer et Monde,223
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,217,École Joseph-Dugas,139
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,378,École NDA,149
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,156,École Pubnico-Ouest,125
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,57,École Rose-des-Vents,248
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,225,École secondaire de Clare,225
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,980,École secondaire de Par-en-Bas,327
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,1152,École secondaire du Sommet,568
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,219,École Stella-Maris,154
2018-2019,57,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,160,École Wedgeport,92
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,8058,South Shore DSEPS,1
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,925,Aspotogan Consolidated Elementary School,143
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,926,Bayview Community School,432
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,405,Big Tancook Elementary School,6
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,1156,Bluenose Academy,527
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,509,Bridgewater Elementary School,293
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,508,Bridgewater Junior Senior High School,329
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,216,Chester Area Middle School,195
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,207,Chester District Elementary School,337
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,386,Dr. John C. Wickwire Academy,395
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,80,Forest Heights Community School,337
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,1150,Greenfield Elementary School,30
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,917,Hebbville Academy,499
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,710,Liverpool Regional High School,316
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,397,New Germany Elementary School,216
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,402,New Germany Rural High School,324
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,214,New Ross Consolidated School,105
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,404,Newcombville Elementary School,167
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,459,North Queens Community School,240
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,409,Park View Education Centre,936
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,400,Pentz Elementary School,87
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,401,Petite Rivière Elementary School,87
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,1185,South Queens Middle School,215
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,1171,SSRSB Adult High School,62
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,1172,SSRSB Alternate Programs,21
2018-2019,58,SOUTH SHORE REGIONAL CENTRE FOR EDUCATION,394,West Northfield Elementary School,148
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,8059,Tri-County DSEPS,11
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,167,Barrington Municipal High School,476
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,497,Carleton Consolidated School,122
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,511,Clark's Harbour Elementary School,204
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,541,Digby Elementary School,362
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,257,Digby Neck Consolidated School,25
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,709,Digby Regional High School,420
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,981,Drumlin Heights Consolidated School,327
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,733,Evelyn Richardson Memorial Elementary School,89
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,927,Forest Ridge Academy,169
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,79,Hillcrest Academy,306
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,259,Islands Consolidated School,94
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,624,Lockeport Elementary School,100
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,711,Lockeport Regional High School,85
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,410,Maple Grove Education Centre,309
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,928,Meadowfields Community School,451
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,199,Plymouth School,255
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,498,Port Maitland Consolidated School,124
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,716,Shelburne Regional High School,271
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,977,St. Mary's Bay Academy,241
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,256,Weymouth Consolidated School,212
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,704,Yarmouth Central School,331
2018-2019,59,TRI-COUNTY REGIONAL CENTRE FOR EDUCATION,1178,Yarmouth Consolidated Memorial High School,818
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,8051,Cape Breton-Victoria DSEPS,0
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,96,Baddeck Academy,299
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,93,Boularderie Elementary School,67
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,101,Bras d'Or Elementary School,222
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,640,Breton Education Centre,590
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,995,Brookland Elementary School,351
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,107,Cabot Education Centre,180
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,962,Cape Smokey Elementary School,82
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,1169,CBVRCE Adult High School,83
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,186,Coxheath Elementary School,300
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,1101,Cusack School,346
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,996,Donkin School,91
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,98,Dr. T.L. Sullivan School,409
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,1153,Ferrisview Elementary School,241
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,416,Glace Bay Elementary School,384
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,8,Glace Bay High School,867
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,963,Greenfield Elementary School,532
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,964,Harbourside Elementary School,354
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,549,John Bernard Croak V.C. Memorial School,212
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,960,Jubilee Elementary School,374
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,202,Malcolm Munroe Middle School,554
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,183,Marion Bridge School,63
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,82,Memorial Composite High School,840
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,83,Middle River Consolidated,13
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,997,Mountainview Elementary School,242
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,961,North Highlands Elementary School,83
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,1154,Oceanview Education Centre,628
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,1142,Rankin School of the Narrows,144
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,973,Riverside School,232
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,203,Riverview High School,1039
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,182,Robin Foote Elementary School,112
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,113,Seton Elementary School,112
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,646,Sherwood Park Education Centre,316
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,972,Shipyard Elementary School,223
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,561,St. Anne's Elementary School,299
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,688,Sydney Academy,869
2019-2020,51,CAPE BRETON-VICTORIA REGIONAL CENTRE FOR EDUCATION,117,Sydney Mines Middle School,230
